,sentiment,Open,High,Low,Close,Volume
2021-06-03,0.2940825400027362,37599.41015625,39478.953125,37243.97265625,39208.765625,35460750427
2021-06-04,0.16647498750686646,39242.484375,39242.484375,35717.72265625,36894.40625,41831090187
2021-06-05,0.4554707637575806,36880.15625,37917.71484375,34900.4140625,35551.95703125,35959473399
2021-06-06,0.38378412728863104,35538.609375,36436.421875,35304.578125,35862.37890625,28913440585
2021-06-07,0.21747498194892684,35835.265625,36790.5703125,33480.640625,33560.70703125,33683936663
2021-06-08,0.19138855366288005,33589.51953125,34017.38671875,31114.443359375,33472.6328125,49902050442
2021-06-09,0.34119776339312785,33416.9765625,37537.37109375,32475.865234375,37345.12109375,53972919008
2021-06-10,0.2860717965172721,37389.515625,38334.32421875,35847.59375,36702.59765625,43576032854
2021-06-11,0.2622506499817941,36697.03125,37608.6953125,36044.44921875,37334.3984375,38699736985
2021-06-12,0.12171984811623891,37340.14453125,37408.92578125,34728.19140625,35552.515625,37924228550
2021-06-13,0.4840208558326072,35555.7890625,39322.78125,34864.109375,39097.859375,40669112838
2021-06-14,0.4870795468623574,39016.96875,40978.36328125,38757.28515625,40218.4765625,43148914673
2021-06-15,0.49208689011445567,40427.16796875,41295.26953125,39609.46875,40406.26953125,46420149185
2021-06-16,0.4283187544008471,40168.69140625,40516.77734375,38176.03515625,38347.0625,39211635100
2021-06-17,0.2602959953050698,38341.421875,39513.671875,37439.67578125,38053.50390625,37096670047
2021-06-18,0.11532374521843473,38099.4765625,38187.26171875,35255.85546875,35787.24609375,36200887275
2021-06-19,-0.21815423122266445,35854.52734375,36457.796875,34933.0625,35615.87109375,31207279719
2021-06-20,-0.21878422639871897,35563.140625,36059.484375,33432.07421875,35698.296875,36664034054
2021-06-21,0.007306095341156269,35641.14453125,35721.640625,31295.935546875,31676.693359375,52809038594
2021-06-22,-0.11568836216573362,31622.376953125,33292.453125,28893.62109375,32505.66015625,58964353058
2021-06-23,0.18810954902853286,32515.71484375,34753.41015625,31772.6328125,33723.02734375,46317108925
2021-06-24,0.16495601575950097,33682.80078125,35228.8515625,32385.21484375,34662.4375,33123368116
2021-06-25,0.3243678609530131,34659.10546875,35487.24609375,31350.884765625,31637.779296875,40230904226
2021-06-26,-0.10802358583263728,31594.6640625,32637.587890625,30184.501953125,32186.27734375,38585385521
2021-06-27,0.28257368893727014,32287.5234375,34656.12890625,32071.7578125,34649.64453125,35511640894
2021-06-28,0.25075522422790525,34679.12109375,35219.890625,33902.07421875,34434.3359375,33892523752
2021-06-29,0.40163271090923214,34475.55859375,36542.109375,34252.484375,35867.77734375,37901460044
2021-06-30,0.21964270484100268,35908.38671875,36074.7578125,34086.15234375,35040.8359375,34059036099
2021-07-01,0.19039928269657222,35035.984375,35035.984375,32883.78125,33572.1171875,37838957079
2021-07-02,0.22719073711439622,33549.6015625,33939.58984375,32770.6796875,33897.046875,38728974942
2021-07-03,0.06151691980140154,33854.421875,34909.26171875,33402.6953125,34668.546875,24383958643
2021-07-04,0.20501965092074487,34665.56640625,35937.56640625,34396.4765625,35287.78125,24924307911
2021-07-05,0.06295119691640139,35284.34375,35284.34375,33213.66015625,33746.00390625,26721554282
2021-07-06,0.17174535599492846,33723.5078125,35038.53515625,33599.91796875,34235.1953125,26501259870
2021-07-07,0.16156135896841686,34225.6796875,34997.6640625,33839.2890625,33855.328125,24796027477
2021-07-08,0.10650309183264292,33889.60546875,33907.90625,32133.18359375,32877.37109375,29910396946
2021-07-09,0.27145157293194816,32861.671875,34042.29296875,32318.880859375,33798.01171875,27436021028
2021-07-10,-0.04243033900856972,33811.2421875,34209.0703125,33116.01171875,33520.51953125,22971873468
2021-07-11,0.20357094251591226,33509.078125,34584.703125,33346.73828125,34240.1875,20108729370
